┌─────────┬──────────┬──────────────────┬────────────────┬──────────┬──────────┐
│ (index) │   sku    │   account_ref    │    user_ref    │ quantity │  value   │
│   550   │ 'YFLEFE' │ 'RSZNDNECKISNLB' │ 'SEYDVXMRCIYV' │   '3'    │ '132.25' │
│   551   │ 'WHAOAU' │ 'QXLUVSJRNRDWXY' │       ''       │   '2'    │  '43.6'  │
│   552   │ 'YMMGTO' │        ''        │       ''       │   '2'    │ '180.2'  │
│   553   │ 'OQHIUG' │        ''        │       ''       │   '3'    │ '456.95' │
│   554   │ 'NLNVEA' │        ''        │       ''       │   '3'    │ '64.48'  │
│   555   │ 'TCILOV' │        ''        │       ''       │   '3'    │ '322.96' │
│   556   │ 'LYFCJC' │        ''        │       ''       │   '1'    │ '389.22' │
│   557   │ 'GALWXR' │        ''        │       ''       │   '1'    │ '283.23' │
│   558   │ 'GBPFKD' │        ''        │       ''       │   '2'    │ '123.99' │
│   559   │ 'MNVFEB' │        ''        │       ''       │   '2'    │ '459.22' │
│   560   │ 'XNCKYU' │ 'JKBVHEAXHMFOHZ' │ 'XCWHGBAZQGOF' │   '2'    │ '115.65' │
│   561   │ 'AOFPXN' │        ''        │       ''       │   '1'    │ '67.99'  │
│   562   │ 'LUHVZK' │        ''        │       ''       │   '1'    │ '589.9'  │
│   563   │ 'NSKTCD' │ 'XSUHXXKWSPYDWD' │ 'WBRWVLYKRXPM' │   '1'    │ '354.22' │
│   564   │ 'GOAPUM' │ 'EORSAJVJMZURSC' │ 'RRMBSDBGHUHV' │   '1'    │ '226.28' │
│   565   │ 'PSNRME' │ 'ZERAILZOGWGXUF' │ 'HBAGXJUKXSDG' │   '2'    │ '140.76' │
│   566   │ 'EZLHUN' │        ''        │       ''       │   '2'    │ '624.14' │
│   567   │ 'FIGZAE' │ 'JKBVHEAXHMFOHZ' │       ''       │   '1'    │ '79.66'  │
│   568   │ 'UFCGMI' │ 'MFHRPGUDAWRQAK' │       ''       │   '3'    │ '423.83' │
│   569   │ 'RILNWR' │ 'OEVTPMEQMCATMD' │       ''       │   '2'    │ '535.67' │
│   570   │ 'BOZJHX' │        ''        │       ''       │   '1'    │ '222.9'  │
│   571   │ 'JYWLGD' │        ''        │       ''       │   '3'    │ '301.64' │
│   572   │ 'BPKAZB' │ 'SDNGQJVONNBRAD' │       ''       │   '1'    │ '84.31'  │
│   573   │ 'BCVSMY' │        ''        │       ''       │   '2'    │ '361.11' │
│   574   │ 'TZVFNW' │        ''        │       ''       │   '1'    │ '378.65' │
│   575   │ 'GFKGUP' │        ''        │       ''       │   '1'    │ '493.93' │
│   576   │ 'ZPIVEQ' │        ''        │       ''       │   '2'    │ '119.31' │
│   577   │ 'QQITHM' │ 'XOKZHKQXYEIPOG' │ 'WWJDNUQLZUST' │   '2'    │ '179.51' │
│   578   │ 'PDNGTS' │ 'OVEMBPUDTRALCJ' │       ''       │   '3'    │ '544.06' │
│   579   │ 'DNLURA' │ 'PFDKRUMIBJQYIG' │       ''       │   '3'    │ '383.35' │
│   580   │ 'OHUVQY' │        ''        │       ''       │   '3'    │ '144.9'  │
│   581   │ 'DYTKCP' │        ''        │       ''       │   '3'    │ '572.55' │
│   582   │ 'BKTJNJ' │        ''        │       ''       │   '1'    │ '347.55' │
│   583   │ 'PBHPSU' │ 'IEKBPBVDBBLTHC' │       ''       │   '3'    │ '426.44' │
│   584   │ 'ZWKMKZ' │        ''        │       ''       │   '3'    │ '155.69' │
│   585   │ 'BKCCQV' │ 'JNSPJHXIEPVHUK' │ 'MPMBQTODYGLH' │   '3'    │ '640.83' │
│   586   │ 'IPUJWF' │        ''        │       ''       │   '2'    │ '70.03'  │
│   587   │ 'GPVDUE' │        ''        │       ''       │   '2'    │ '459.29' │
│   588   │ 'BRHEER' │ 'OVEMBPUDTRALCJ' │ 'YNFULZVMWHUQ' │   '3'    │ '565.99' │
│   589   │ 'ORHJWI' │        ''        │       ''       │   '2'    │ '92.88'  │
│   590   │ 'LFTAAD' │ 'TACCTDZEEXQUWJ' │ 'GDGYBNNEHEVZ' │   '1'    │ '54.86'  │
│   591   │ 'LAHCMR' │        ''        │       ''       │   '3'    │ '158.62' │
│   592   │ 'BHOIIM' │ 'MPURFMIYQCXJDG' │       ''       │   '3'    │ '41.92'  │
│   593   │ 'DYDSAB' │        ''        │       ''       │   '3'    │ '444.29' │
│   594   │ 'BREYRP' │ 'ZNAEUHUHOABTGG' │       ''       │   '3'    │ '455.91' │
│   595   │ 'KUNSGU' │ 'DMWKWYFVQUURGH' │ 'NDQYPGRRGHIE' │   '3'    │ '87.46'  │
│   596   │ 'DCQUUH' │        ''        │       ''       │   '2'    │ '255.28' │
│   597   │ 'YJUYLC' │        ''        │       ''       │   '3'    │ '241.32' │
│   598   │ 'ASXUCG' │        ''        │       ''       │   '1'    │ '476.58' │
│   599   │ 'CDAWWJ' │ 'TRCFVEFTRVEVBH' │ 'NTVHKHIHWWCT' │   '3'    │ '393.39' │
│   600   │ 'BEBWBL' │ 'ICICBIISKFTPPL' │ 'LAADCWVPLJPH' │   '1'    │ '82.09'  │
│   601   │ 'KOPQIC' │        ''        │       ''       │   '1'    │ '397.22' │
│   602   │ 'WGWQSF' │ 'UIZQAVHZPHDQHM' │ 'AMSQEDUJGALB' │   '2'    │ '112.18' │
│   603   │ 'ZYXKAY' │        ''        │       ''       │   '1'    │ '206.24' │
│   604   │ 'DWAKYX' │ 'RHMXHURMGXQNMJ' │ 'YAULXTQRVNNZ' │   '3'    │ '520.23' │
│   605   │ 'TGIFQN' │ 'FRYBODGMOFBLBY' │       ''       │   '1'    │ '626.32' │
│   606   │ 'MDYMQI' │ 'QXLUVSJRNRDWXY' │ 'MHIDMRNIBNJO' │   '2'    │ '216.75' │
│   607   │ 'NHTWMT' │ 'COHMUKFAESXDXS' │       ''       │   '3'    │ '404.78' │
│   608   │ 'DEVWOR' │        ''        │       ''       │   '3'    │ '219.93' │
│   609   │ 'IOQTST' │ 'EDOIBPJWNEYGIR' │       ''       │   '1'    │ '231.65' │
│   610   │ 'OXEMRL' │ 'IJVQUWMXEAZDIE' │       ''       │   '1'    │ '486.41' │
│   611   │ 'IQEWTP' │        ''        │       ''       │   '2'    │ '273.55' │
│   612   │ 'JDRJTS' │ 'GRFHKUTJJHHQRD' │       ''       │   '2'    │ '544.37' │
│   613   │ 'XARHEV' │ 'CRSDEKTBVDJFGH' │       ''       │   '3'    │ '367.59' │
│   614   │ 'LSQOGH' │        ''        │       ''       │   '2'    │ '434.28' │
│   615   │ 'ALJCAI' │ 'WYLMHUIZDIVCAX' │ 'JEUIXUIOMJGL' │   '3'    │ '469.77' │
│   616   │ 'UAODQN' │        ''        │       ''       │   '2'    │ '377.05' │
│   617   │ 'HTOMWO' │ 'DIAXFQBCNOSZFB' │       ''       │   '1'    │ '425.33' │
│   618   │ 'REOAMP' │ 'GWUQILVCDNPSOC' │ 'ITQHKAEVYYIH' │   '1'    │ '108.82' │
│   619   │ 'WSPLHX' │ 'UKWCVCBBQWNWMP' │       ''       │   '2'    │ '162.27' │
│   620   │ 'UOGKKJ' │        ''        │       ''       │   '1'    │ '588.55' │
│   621   │ 'NRLNYX' │        ''        │       ''       │   '2'    │ '156.47' │
│   622   │ 'ISNPGF' │ 'PTJFUXXRLRZUXC' │       ''       │   '3'    │ '392.22' │
│   623   │ 'PWJHXF' │ 'ZERAILZOGWGXUF' │       ''       │   '3'    │ '231.07' │
│   624   │ 'ZSKEJU' │ 'RVAJCHXCSSLQFH' │ 'GMHDMBGXUGUR' │   '3'    │ '98.29'  │
│   625   │ 'TKPZAJ' │        ''        │       ''       │   '1'    │ '326.68' │
│   626   │ 'ROQVYA' │        ''        │       ''       │   '3'    │ '207.61' │
│   627   │ 'GKAOLN' │ 'GALHQACPTWQCJT' │       ''       │   '1'    │ '448.9'  │
│   628   │ 'TEFZYQ' │        ''        │       ''       │   '3'    │ '473.45' │
│   629   │ 'CTPOVC' │        ''        │       ''       │   '3'    │ '49.39'  │
│   630   │ 'JUBNZN' │ 'INPGNJINYXUFUF' │ 'IVDUCJUISGIG' │   '2'    │ '108.72' │
│   631   │ 'DFIRPB' │ 'MFHRPGUDAWRQAK' │       ''       │   '2'    │ '522.22' │
│   632   │ 'ITVPFZ' │ 'ZVXDMBNMNOWUTF' │       ''       │   '3'    │ '470.13' │
│   633   │ 'YOAJPC' │        ''        │       ''       │   '1'    │ '356.26' │
│   634   │ 'QCNOSO' │ 'MVPCNTLWTAOPLC' │       ''       │   '3'    │ '195.29' │
│   635   │ 'XLNFYX' │ 'ZNKGXDSSHUZWKM' │ 'BSTFLTUYPSPD' │   '3'    │ '314.62' │
│   636   │ 'YRFVOA' │        ''        │       ''       │   '1'    │ '550.53' │
│   637   │ 'VXVBDA' │        ''        │       ''       │   '3'    │ '423.84' │
│   638   │ 'PNXDOD' │        ''        │       ''       │   '1'    │ '44.29'  │
│   639   │ 'IUQLYW' │        ''        │       ''       │   '1'    │ '421.29' │
│   640   │ 'JGZIPD' │        ''        │       ''       │   '1'    │ '572.37' │
│   641   │ 'UAODQN' │        ''        │       ''       │   '2'    │ '407.39' │
│   642   │ 'XWWRVZ' │ 'LDSPJYQLZITXFD' │ 'ZLCWTGMUASLD' │   '1'    │ '351.79' │
│   643   │ 'DQCJBZ' │ 'TRCFVEFTRVEVBH' │       ''       │   '1'    │ '201.88' │
│   644   │ 'ENVTMV' │ 'MAKZDZVIVRBYVI' │       ''       │   '1'    │ '75.13'  │
│   645   │ 'HXQXLY' │        ''        │       ''       │   '2'    │ '128.76' │
│   646   │ 'OJDQGL' │ 'GSEUNCTWPDTWSU' │ 'IVDUCJUISGIG' │   '3'    │ '169.36' │
│   647   │ 'EKSSVX' │ 'OOQOGDHJAEEKUY' │ 'FFONKDMHRZVB' │   '3'    │ '507.76' │
│   648   │ 'RVMAYT' │        ''        │       ''       │   '3'    │ '392.06' │
│   649   │ 'VYVGPW' │        ''        │       ''       │   '2'    │ '15.19'  │
│   650   │ 'EJEETD' │ 'OKBDMOSKBSGJXS' │       ''       │   '2'    │ '141.09' │
│   651   │ 'OQVXOJ' │        ''        │       ''       │   '3'    │ '80.79'  │
│   652   │ 'EDXFDU' │        ''        │       ''       │   '2'    │ '130.63' │
│   653   │ 'GZGMAB' │        ''        │       ''       │   '1'    │ '474.68' │
│   654   │ 'FBZXBV' │ 'CQEBKUCGTMAIQV' │ 'KVVRWHMMQVEU' │   '2'    │ '293.42' │
│   655   │ 'SZVDFY' │        ''        │       ''       │   '3'    │ '329.41' │
│   656   │ 'PZAIIV' │ 'ULEDFHZVVKQECR' │       ''       │   '1'    │ '13.23'  │
│   657   │ 'TNZKUK' │        ''        │       ''       │   '2'    │ '105.46' │
│   658   │ 'CNWLAB' │        ''        │       ''       │   '2'    │ '208.93' │
│   659   │ 'QBIMDF' │        ''        │       ''       │   '2'    │ '557.88' │
│   660   │ 'YVPLWT' │ 'ULEDFHZVVKQECR' │ 'UMIMELICTDZQ' │   '2'    │ '509.09' │
│   661   │ 'VVFQWE' │ 'YYVSRMOOTMFGXC' │ 'FDFUTXQFNUDF' │   '1'    │ '38.41'  │
│   662   │ 'ZOBXUH' │ 'JJEVIBUUOVYAOB' │       ''       │   '3'    │ '371.1'  │
│   663   │ 'TPARPZ' │        ''        │       ''       │   '1'    │ '321.94' │
│   664   │ 'CQBIQY' │        ''        │       ''       │   '3'    │ '381.75' │
│   665   │ 'XMIAIR' │        ''        │       ''       │   '1'    │ '278.79' │
│   666   │ 'CFBQQD' │        ''        │       ''       │   '2'    │ '295.02' │
│   667   │ 'BLYIKT' │        ''        │       ''       │   '3'    │ '319.68' │
│   668   │ 'ERATOF' │        ''        │       ''       │   '2'    │ '19.47'  │
│   669   │ 'HXSKZJ' │ 'VDGIMJDTEYXQQO' │       ''       │   '3'    │ '520.97' │
│   670   │ 'BCGSJU' │        ''        │       ''       │   '3'    │ '218.95' │
│   671   │ 'OAVGXN' │        ''        │       ''       │   '2'    │ '644.14' │
│   672   │ 'TEFZYQ' │ 'DMWKWYFVQUURGH' │       ''       │   '3'    │ '659.45' │
│   673   │ 'UODJGB' │ 'JJEVIBUUOVYAOB' │ 'BTIPJJLLKFIJ' │   '2'    │ '48.75'  │
│   674   │ 'DITEOU' │ 'KAFTCONUJCNALJ' │       ''       │   '1'    │ '677.46' │
│   675   │ 'MDTEYE' │        ''        │       ''       │   '2'    │ '103.56' │
│   676   │ 'AMSJGF' │        ''        │       ''       │   '2'    │ '50.52'  │
│   677   │ 'AAIONK' │ 'GWUQILVCDNPSOC' │       ''       │   '3'    │ '164.14' │
│   678   │ 'MNVFEB' │ 'TYWVSZXFCCRJGO' │       ''       │   '1'    │ '379.17' │
│   679   │ 'MVTTBB' │ 'QRWAYFYPFTZPRG' │       ''       │   '1'    │ '106.2'  │
│   680   │ 'JANGXI' │ 'KMIMTMWSKXZPDK' │ 'ZDKFQNEFYNCF' │   '1'    │ '265.58' │
│   681   │ 'SGQRIQ' │ 'JAJOSUEYHGOKKP' │ 'KZIAMQURGPQW' │   '3'    │ '76.19'  │
│   682   │ 'XUCLOU' │ 'XNLKOJQUDHEGUQ' │ 'CTNIOEHHBKGX' │   '1'    │ '435.44' │
│   683   │ 'OCVTFR' │ 'VOPYKPESOPKNUJ' │       ''       │   '3'    │ '467.94' │
│   684   │ 'KVVJRY' │        ''        │       ''       │   '3'    │ '199.22' │
│   685   │ 'ZLRQAF' │        ''        │       ''       │   '2'    │ '388.28' │
│   686   │ 'MWMIIA' │ 'PFODWJWQRDOGNG' │       ''       │   '2'    │ '579.16' │
│   687   │ 'KYSTJT' │        ''        │       ''       │   '3'    │  '89.4'  │
│   688   │ 'OXEKBZ' │ 'WPAVOUETESROGD' │ 'PKZCCWOUBPDF' │   '3'    │ '467.88' │
│   689   │ 'YLSKOS' │ 'CBRYHANELZRGYN' │ 'VEBGTBJSXYEW' │   '1'    │ '334.17' │
│   690   │ 'OAROIL' │        ''        │       ''       │   '1'    │ '438.22' │
│   691   │ 'HRDDVS' │        ''        │       ''       │   '2'    │ '534.75' │
│   692   │ 'MKUPMJ' │        ''        │       ''       │   '1'    │ '465.95' │
│   693   │ 'HAODFV' │        ''        │       ''       │   '3'    │ '33.18'  │
│   694   │ 'QZKNJD' │ 'YYVSRMOOTMFGXC' │       ''       │   '1'    │ '450.32' │
│   695   │ 'PXZOUN' │        ''        │       ''       │   '3'    │ '445.98' │
│   696   │ 'YXHGIA' │        ''        │       ''       │   '1'    │ '56.97'  │
│   697   │ 'EUOEYK' │ 'KJJDZTDDIUGDAN' │ 'RSOPQVNSILXJ' │   '1'    │ '474.4'  │
│   698   │ 'CHXNLG' │ 'AKVCRRNBHODSSA' │       ''       │   '2'    │ '410.52' │
│   699   │ 'DCDHJX' │        ''        │       ''       │   '1'    │ '547.5'  │
│   700   │ 'BQLCDU' │ 'BBTDBNXLFYPZHZ' │       ''       │   '2'    │ '322.98' │
│   701   │ 'UNXHZW' │        ''        │       ''       │   '2'    │ '64.74'  │
│   702   │ 'EURSYE' │ 'NSHJCRAVGQCHGR' │ 'YVWCMPDHQCOG' │   '3'    │ '415.09' │
│   703   │ 'ZDLACN' │        ''        │       ''       │   '3'    │ '310.56' │
│   704   │ 'NRTPYL' │        ''        │       ''       │   '2'    │ '108.65' │
│   705   │ 'EFEMXQ' │        ''        │       ''       │   '2'    │ '578.27' │
│   706   │ 'OUYKUD' │ 'YAZOAXOPAOCMTI' │ 'SRUCFKGHFBLW' │   '1'    │ '290.82' │
│   707   │ 'MYCBTG' │        ''        │       ''       │   '1'    │ '36.99'  │
│   708   │ 'YSXWHW' │ 'OEVTPMEQMCATMD' │       ''       │   '3'    │ '423.58' │
│   709   │ 'MHDAGS' │        ''        │       ''       │   '1'    │ '157.53' │
│   710   │ 'CVSNMO' │ 'LGNMYBKSMZFUYR' │ 'JGMACKLKKSQU' │   '3'    │ '481.5'  │
│   711   │ 'RVXFME' │ 'NJOZWEISLGCJOV' │       ''       │   '1'    │ '20.99'  │
│   712   │ 'FUGEGN' │        ''        │       ''       │   '1'    │ '195.1'  │
│   713   │ 'UDZLAA' │ 'SHQDDOVIPQLJUK' │ 'KLJAERIQDAZP' │   '3'    │ '370.34' │
│   714   │ 'ZFHVSW' │        ''        │       ''       │   '2'    │ '477.45' │
│   715   │ 'XACLQF' │ 'XUVVDDVFKWRZVS' │ 'GIZIJBDFEGEA' │   '1'    │ '223.95' │
│   716   │ 'HYAADK' │ 'NSHJCRAVGQCHGR' │ 'TFQBRHPFUVEG' │   '2'    │ '327.89' │
│   717   │ 'VVACCY' │        ''        │       ''       │   '2'    │ '119.87' │
│   718   │ 'ZEGAAG' │        ''        │       ''       │   '3'    │ '20.61'  │
│   719   │ 'MOUAYF' │ 'VLQYOEBBARFHXU' │       ''       │   '1'    │ '703.56' │
│   720   │ 'EZUQOE' │        ''        │       ''       │   '2'    │ '184.93' │
│   721   │ 'LSQOGH' │        ''        │       ''       │   '2'    │ '442.55' │
│   722   │ 'LEGJQH' │        ''        │       ''       │   '2'    │ '120.18' │
│   723   │ 'PXGGYU' │        ''        │       ''       │   '2'    │ '170.5'  │
│   724   │ 'ZPXEKR' │        ''        │       ''       │   '2'    │ '295.73' │
│   725   │ 'OKPMAR' │ 'AGJTBYHMNUUOKO' │ 'VNUQFLUYOOTF' │   '1'    │ '381.32' │
│   726   │ 'UZVGRK' │        ''        │       ''       │   '3'    │ '310.12' │
│   727   │ 'WGCLEH' │ 'NSPZDAGXYGIATM' │       ''       │   '1'    │ '35.41'  │
│   728   │ 'PFNBXY' │ 'SNXCBEQRGOKRRY' │       ''       │   '2'    │ '420.37' │
│   729   │ 'LLAHVH' │ 'XOJZDVEJHOLXVE' │ 'VMBJZZSWFZID' │   '2'    │ '365.29' │
│   730   │ 'NSSDBT' │ 'SXXXNOYRSVAIWY' │       ''       │   '1'    │ '272.02' │
│   731   │ 'DMEVJF' │        ''        │       ''       │   '3'    │ '259.8'  │
│   732   │ 'SNOTRH' │        ''        │       ''       │   '2'    │ '473.74' │
│   733   │ 'ZHQHNR' │ 'IAQMPNKGVMGKZD' │       ''       │   '1'    │ '490.4'  │
│   734   │ 'SWTJUR' │ 'LRRXUXIRTTHVNI' │ 'XTCBCBBJPIKH' │   '1'    │ '313.2'  │
│   735   │ 'MASACH' │ 'MDUGFBEPFGZAOF' │ 'FHDKXPDCFDKO' │   '3'    │ '499.97' │
│   736   │ 'XEEJVX' │        ''        │       ''       │   '2'    │ '626.72' │
│   737   │ 'WEYIRG' │ 'AGJTBYHMNUUOKO' │ 'ONXEVXTEBRZD' │   '3'    │  '328'   │
│   738   │ 'CCPKMX' │ 'ZXLTUDZARXDCWV' │       ''       │   '3'    │ '503.28' │
│   739   │ 'HJTSNR' │ 'GNFUCJPCCWGJSZ' │       ''       │   '2'    │ '336.84' │
│   740   │ 'TQUQFY' │        ''        │       ''       │   '3'    │ '435.8'  │
│   741   │ 'VEQOVC' │ 'GDPFCIAQHLQZSI' │       ''       │   '2'    │ '410.26' │
│   742   │ 'IIHWOK' │        ''        │       ''       │   '3'    │ '423.27' │
│   743   │ 'ANUOCA' │ 'FQVEJHMGIDMFUL' │       ''       │   '3'    │ '420.03' │
│   744   │ 'UNZYTJ' │        ''        │       ''       │   '1'    │ '677.09' │
│   745   │ 'NTMKZB' │        ''        │       ''       │   '1'    │ '392.63' │
│   746   │ 'QFBKDG' │        ''        │       ''       │   '3'    │ '127.42' │
│   747   │ 'JGRCQD' │ 'PKMGQUKJPOODHF' │       ''       │   '1'    │ '554.6'  │
│   748   │ 'SWUMHK' │ 'ZVXDMBNMNOWUTF' │ 'ANWRQCKVQXRY' │   '2'    │ '500.4'  │
│   749   │ 'YUGDOQ' │ 'RBLDXTOYWDMKFS' │ 'XONSCVSMILIW' │   '1'    │ '395.39' │
│   750   │ 'HZFADC' │ 'MBXTGYMELOGTBL' │       ''       │   '2'    │ '684.26' │
│   751   │ 'JZSYEI' │        ''        │       ''       │   '2'    │ '494.93' │
│   752   │ 'XZKOHH' │        ''        │       ''       │   '2'    │ '177.84' │
│   753   │ 'QQDDFC' │        ''        │       ''       │   '2'    │ '153.29' │
│   754   │ 'YNGGNH' │ 'DUKXVFBQGGPLLO' │       ''       │   '2'    │ '390.12' │
│   755   │ 'WSYUVU' │        ''        │       ''       │   '2'    │ '142.18' │
│   756   │ 'ROACGJ' │        ''        │       ''       │   '3'    │ '109.57' │
│   757   │ 'YSETHE' │        ''        │       ''       │   '3'    │ '227.04' │
│   758   │ 'KVEHLE' │ 'LVNHCTMXZWCGSF' │ 'DVUUHSGUWQSH' │   '2'    │ '50.05'  │
│   759   │ 'YKUYND' │        ''        │       ''       │   '3'    │ '635.49' │
│   760   │ 'KUMYTF' │        ''        │       ''       │   '2'    │ '354.35' │
│   761   │ 'VXVBDA' │        ''        │       ''       │   '2'    │ '334.61' │
│   762   │ 'IKRDBD' │        ''        │       ''       │   '3'    │ '135.97' │
│   763   │ 'ARJIJT' │        ''        │       ''       │   '2'    │ '405.72' │
│   764   │ 'ZKSWUN' │        ''        │       ''       │   '2'    │ '426.34' │
│   765   │ 'VEXPLM' │        ''        │       ''       │   '1'    │ '51.05'  │
│   766   │ 'KJMGFT' │ 'KQQCIQBGVORFNR' │ 'BVVIQXGEDPDJ' │   '1'    │ '199.03' │
│   767   │ 'OAPWRH' │        ''        │       ''       │   '3'    │ '62.29'  │
│   768   │ 'PWJHXF' │        ''        │       ''       │   '1'    │ '224.76' │
│   769   │ 'RRSQVU' │ 'ICICBIISKFTPPL' │       ''       │   '2'    │ '222.62' │
│   770   │ 'AIIVQD' │ 'XGHWYRYUVREHOQ' │       ''       │   '1'    │ '182.21' │
│   771   │ 'TOJXTS' │        ''        │       ''       │   '1'    │ '458.41' │
│   772   │ 'OJEKYH' │        ''        │       ''       │   '2'    │ '11.12'  │
│   773   │ 'HOMVPN' │ 'ETJCIXNTVDVENS' │       ''       │   '2'    │ '150.02' │
│   774   │ 'CCPKMX' │ 'CBJFBOUMNPTGGW' │ 'QPZGKFMFPUOM' │   '3'    │ '559.2'  │
│   775   │ 'HQAMUP' │ 'XYRGNWKHNBOPUI' │       ''       │   '2'    │ '536.37' │
│   776   │ 'MMLVYQ' │ 'RKISMTIUZCVKVC' │ 'XNCVFUFWHCPW' │   '1'    │ '11.07'  │
│   777   │ 'QRTZLM' │ 'COHMUKFAESXDXS' │ 'DTWFESLHTEZC' │   '1'    │ '258.54' │
│   778   │ 'YRYCQM' │ 'UIZQAVHZPHDQHM' │       ''       │   '1'    │ '128.41' │
│   779   │ 'DYXLDN' │        ''        │       ''       │   '1'    │ '14.36'  │
│   780   │ 'JIHXVO' │ 'JNPMNVBGNAKADC' │ 'AHXWDYBXLYEP' │   '2'    │ '378.42' │
│   781   │ 'TEPLLG' │        ''        │       ''       │   '3'    │ '61.48'  │
│   782   │ 'QPALYA' │        ''        │       ''       │   '1'    │ '421.17' │
│   783   │ 'WPRFZA' │ 'BBTDBNXLFYPZHZ' │ 'OCAXMFHTLACV' │   '3'    │ '175.51' │
│   784   │ 'JBOAAS' │ 'KMIHLZGZDVBAXV' │       ''       │   '3'    │ '530.92' │
│   785   │ 'AKCYRZ' │        ''        │       ''       │   '1'    │ '42.28'  │
│   786   │ 'ZLDWAJ' │ 'GRFHKUTJJHHQRD' │ 'JXLSMZSVSTAM' │   '3'    │ '109.98' │
│   787   │ 'NJUKYN' │        ''        │       ''       │   '3'    │ '54.23'  │
│   788   │ 'WUYZTK' │        ''        │       ''       │   '2'    │ '159.75' │
│   789   │ 'RMUSSX' │        ''        │       ''       │   '2'    │ '45.57'  │
│   790   │ 'JFEUST' │        ''        │       ''       │   '1'    │ '180.85' │
│   791   │ 'RSPUPL' │ 'QWQQSEVFONTTGP' │       ''       │   '3'    │ '379.29' │
│   792   │ 'KJTDPS' │        ''        │       ''       │   '1'    │ '223.53' │
│   793   │ 'MANZVA' │        ''        │       ''       │   '2'    │ '18.95'  │
│   794   │ 'FXDATI' │        ''        │       ''       │   '1'    │ '303.44' │
│   795   │ 'SIKWAD' │        ''        │       ''       │   '1'    │ '50.88'  │
│   796   │ 'AVKUTO' │ 'IBCCRYUUGSMIZD' │       ''       │   '3'    │ '413.47' │
│   797   │ 'LAGANG' │ 'MJQWSWNWWATSFR' │ 'ASBVBVXSUPEK' │   '3'    │ '477.36' │
│   798   │ 'HQAMUP' │ 'LGMWDGCFACOBTT' │       ''       │   '2'    │ '666.04' │
│   799   │ 'DWANGP' │ 'NYTUDKFLQIVRLX' │       ''       │   '2'    │ '558.26' │
│   800   │ 'PZABAV' │ 'IEKBPBVDBBLTHC' │       ''       │   '1'    │ '559.09' │
│   801   │ 'AQENFC' │        ''        │       ''       │   '2'    │ '477.18' │
│   802   │ 'SGDTYF' │        ''        │       ''       │   '1'    │ '241.29' │
│   803   │ 'KKDOAU' │ 'LLFXMPKKEMDZZU' │ 'PXLVFBJFLBTU' │   '1'    │ '221.5'  │
│   804   │ 'HFUHGS' │        ''        │       ''       │   '1'    │ '346.51' │
│   805   │ 'NNGMCW' │        ''        │       ''       │   '2'    │ '415.26' │
│   806   │ 'JPFHPK' │        ''        │       ''       │   '3'    │ '238.73' │
│   807   │ 'AJWMVG' │ 'EZDEDJGIHMENYM' │ 'LWBEZUDWIOYH' │   '2'    │ '592.09' │
│   808   │ 'KTLZBZ' │ 'EORSAJVJMZURSC' │       ''       │   '2'    │ '379.4'  │
│   809   │ 'WFARKF' │        ''        │       ''       │   '3'    │ '337.95' │
│   810   │ 'URNEID' │ 'AMGHGMXIMHVAGD' │       ''       │   '3'    │ '43.16'  │
│   811   │ 'MZBFFJ' │ 'DBGQOCYFKFHGYL' │ 'TGXJZBRVERWB' │   '3'    │ '148.9'  │
│   812   │ 'JZYYCC' │        ''        │       ''       │   '2'    │ '264.35' │
│   813   │ 'KXKCSO' │ 'UIZQAVHZPHDQHM' │       ''       │   '2'    │ '277.43' │
│   814   │ 'VGWMQO' │ 'EMUWNDKQDSYBXT' │ 'RASCKECGZNXG' │   '2'    │ '370.54' │
│   815   │ 'YXREUX' │ 'XTHGZDRDGFFJOV' │       ''       │   '3'    │ '164.55' │
│   816   │ 'QTNQOA' │ 'CGZQNRMQEMQGWI' │ 'RCDZUARHQGRI' │   '1'    │ '436.8'  │
│   817   │ 'ASSHXR' │        ''        │       ''       │   '1'    │ '326.02' │
│   818   │ 'QAMDRS' │        ''        │       ''       │   '2'    │ '266.31' │
│   819   │ 'FCBRBW' │        ''        │       ''       │   '2'    │ '392.36' │
│   820   │ 'EZAWAX' │        ''        │       ''       │   '1'    │ '463.95' │
│   821   │ 'ZBQPCC' │        ''        │       ''       │   '3'    │ '643.85' │
│   822   │ 'TGIYFK' │        ''        │       ''       │   '2'    │ '460.9'  │
│   823   │ 'XWPYHB' │        ''        │       ''       │   '3'    │ '211.15' │
│   824   │ 'HWTHNT' │        ''        │       ''       │   '1'    │ '240.39' │
│   825   │ 'GDBMAN' │ 'LRRXUXIRTTHVNI' │       ''       │   '2'    │ '477.07' │
│   826   │ 'VPFFVS' │        ''        │       ''       │   '2'    │ '51.21'  │
│   827   │ 'IKQNPV' │ 'FRYBODGMOFBLBY' │ 'YXEMKWIFGMNX' │   '3'    │ '50.01'  │
│   828   │ 'IANSEC' │        ''        │       ''       │   '1'    │ '431.64' │
│   829   │ 'HQSRCD' │        ''        │       ''       │   '1'    │ '174.38' │
│   830   │ 'ZUTPBC' │ 'RBLDXTOYWDMKFS' │ 'LDZYOILTIGNK' │   '1'    │ '592.52' │
│   831   │ 'UVMZOS' │ 'CBUKNMZBZVMMGR' │       ''       │   '2'    │ '422.45' │
│   832   │ 'UVAEXQ' │        ''        │       ''       │   '3'    │ '159.42' │
